codigo,descripcion,unidad_medida,tipo
SC-01,FOCOS DE RANGER,UNIDAD,REPUESTOS
SC-02,INYECTORES FRD,UNIDAD,REPUESTOS
"3926704,""SPRING HOSE, CLAMP CUMMINS"",UNIDAD,REPUESTOS"
R-F4000-06,ARRANQUE,UNIDAD,REPUESTOS
R-F4000-07,INYECTORES,UNIDAD,REPUESTOS
R-F4000-08,CABLE DE CAPOT,UNIDAD,REPUESTOS
R-TOYOTA5L-04,SNORKEL,UNIDAD,REPUESTOS
R-TOYOTA5L-05,FALSO BRAZO AUXILIAR,UNIDAD,REPUESTOS
R-TOYOTA5L-06,BOMBIN DE EMBRAGUE,UNIDAD,REPUESTOS
R-TOYOTA5L-07,TERMOSTATO,UNIDAD,REPUESTOS
R-TOYOTA5L-08,SOPORTE MOTOR,UNIDAD,REPUESTOS
R-TOYOTA5L-09,JUNTA MULTIPLE DE ESCAPE,UNIDAD,REPUESTOS
R-TOYOTA5L-10,JUEGOS RODAM DIFERENCIAL DELAN,UNIDAD,REPUESTOS
R-TOYOTA5L-11,ARRANQUE,UNIDAD,REPUESTOS
R-TOYOTAIMV06,TENSOR CORREA DE SERVICIO,UNIDAD,REPUESTOS
R-TOYOTAIMV07,JUNTA HOMOCINET LADO CAJA,UNIDAD,REPUESTOS
R-TOYOTAIMV08,JUNTA HOMOCINETICA LADO RUEDA,UNIDAD,REPUESTOS
R-TOYOTAIMV09,POLEA AUXILIAR ALTERNADOR,UNIDAD,REPUESTOS
R-TOYOTAIMV10,TENSOR DISTRIBUCION,UNIDAD,REPUESTOS
R-TOYOTAIMV11,CRUCETA CARDAN DELANTERO,UNIDAD,REPUESTOS
R-TOYOTAIMV12,CRUCETA CARDAN TRASERO,UNIDAD,REPUESTOS
R-TOYOTAIMV13,BOMBA DE AGUA,UNIDAD,REPUESTOS
R-TOYOTAIMV14,TUERCAS PARA RUEDA,UNIDAD,REPUESTOS
R-TOYOTAIMV15,ALTERNADOR NUEVO,UNIDAD,REPUESTOS
R-TOYOTAIMV16,ARRANQUE TOYOTA NUEVO,UNIDAD,REPUESTOS
R-TOYOTAIMV17,BUJE PARRILLA SUPERIOR,UNIDAD,REPUESTOS
R-TOYOTAIMV18,BUJE BARRA ESTABILIZADORA,UNIDAD,REPUESTOS
R-TOYOTAIMV19,FUELLE SEMIEJE LADO CAJA,UNIDAD,REPUESTOS
R-TOYOTAIMV20,FUELLE SEMIEJE LADO RUEDA,UNIDAD,REPUESTOS
R-TOYOTAIMV21,INYECTOR MOTOR 3.0,UNIDAD,REPUESTOS
R-TOYOTAIMV22,PARAGOLPE DELANTERO TOYOTA 2012,UNIDAD,REPUESTOS
R-TOYOTAIMV23,REJILLA PARAGOLPE DELANTERO 2012,UNIDAD,REPUESTOS
R-CARRETON1,DIAFRAGMA PULMON DE FRENO,UNIDAD,REPUESTOS
